sex_fam;individuals;voc_type;n
Unfam_MF;M19Bleu-F5Vert;flat;1696
Unfam_MF;M19Bleu-F5Vert;longdown;4
Unfam_MF;M19Bleu-F5Vert;longdown_trill;0
Unfam_MF;M19Bleu-F5Vert;trill;11
Unfam_MF;M19Bleu-F5Vert;up;706
Unfam_MF;M1Bleu-F1680;complex;0
Unfam_MF;M1Bleu-F1680;Down;1
Unfam_MF;M1Bleu-F1680;flat;193
Unfam_MF;M1Bleu-F1680;longdown_trill;0
Unfam_MF;M1Bleu-F1680;longdown;0
Unfam_MF;M1Bleu-F1680;trill;2
Unfam_MF;M1Bleu-F1680;up;58
Fam_MF;M20bleu-F9rouge;complex;2
Unfam_MF;M20Bleu-F9Rouge;complex;203
Fam_MF;M20bleu-F9rouge;Down;0
Unfam_MF;M20Bleu-F9Rouge;Down;85
Fam_MF;M20bleu-F9rouge;flat;1438
Unfam_MF;M20Bleu-F9Rouge;flat;1122
Fam_MF;M20bleu-F9rouge;longdown;0
Unfam_MF;M20Bleu-F9Rouge;longdown;21
Fam_MF;M20bleu-F9rouge;longdown_trill;0
Unfam_MF;M20Bleu-F9Rouge;longdown_trill;0
Fam_MF;M20bleu-F9rouge;trill;1
Unfam_MF;M20Bleu-F9Rouge;trill;5
Fam_MF;M20bleu-F9rouge;up;125
Unfam_MF;M20Bleu-F9Rouge;up;265
Unfam_MF;M2Bleu-F1681;complex;0
Unfam_MF;M2Bleu-F1681;Down;0
Unfam_MF;M2Bleu-F1681;flat;1
Unfam_MF;M2Bleu-F1681;longdown;0
Unfam_MF;M2Bleu-F1681;longdown_trill;0
Unfam_MF;M2Bleu-F1681;trill;0
Unfam_MF;M2Bleu-F1681;up;0
Unfam_MF;M6Bleu-F1661;complex;0
Unfam_MF;M6Bleu-F1661;Down;3
Unfam_MF;M6Bleu-F1661;flat;61
Unfam_MF;M6Bleu-F1661;longdown;0
Unfam_MF;M6Bleu-F1661;longdown_trill;0
Unfam_MF;M6Bleu-F1661;trill;2
Unfam_MF;M6Bleu-F1661;up;0
Fam_MF;M6bleu-Fx2;complex;40
Fam_MF;M6bleu-Fx2;Down;2
Fam_MF;M6bleu-Fx2;flat;1523
Fam_MF;M6bleu-Fx2;longdown;1
Fam_MF;M6bleu-Fx2;longdown_trill;0
Fam_MF;M6bleu-Fx2;trill;7
Fam_MF;M6bleu-Fx2;up;283
Unfam_MF;M9Bleu-F15Rouge;complex;0
Unfam_MF;M9Bleu-F15Rouge;Down;0
Unfam_MF;M9Bleu-F15Rouge;flat;133
Unfam_MF;M9Bleu-F15Rouge;longdown;0
Unfam_MF;M9Bleu-F15Rouge;longdown_trill;0
Unfam_MF;M9Bleu-F15Rouge;trill;0
Unfam_MF;M9Bleu-F15Rouge;up;36
Fam_MM;Mcage10a-Mcage10b;complex;1
Fam_MM;Mcage10a-Mcage10b;Down;0
Fam_MM;Mcage10a-Mcage10b;flat;355
Fam_MM;Mcage10a-Mcage10b;longdown;0
Fam_MM;Mcage10a-Mcage10b;longdown_trill;0
Fam_MM;Mcage10a-Mcage10b;trill;0
Fam_MM;Mcage10a-Mcage10b;up;45
Fam_MM;Mcage10c-Mcage10d;complex;1
Fam_MM;Mcage10c-Mcage10d;Down;0
Fam_MM;Mcage10c-Mcage10d;flat;383
Fam_MM;Mcage10c-Mcage10d;longdown;0
Fam_MM;Mcage10c-Mcage10d;longdown_trill;0
Fam_MM;Mcage10c-Mcage10d;trill;0
Fam_MM;Mcage10c-Mcage10d;up;18
Fam_MM;Mcage10e-Mcage10f;complex;4
Fam_MM;Mcage10e-Mcage10f;Down;0
Fam_MM;Mcage10e-Mcage10f;flat;1318
Fam_MM;Mcage10e-Mcage10f;longdown;0
Fam_MM;Mcage10e-Mcage10f;longdown_trill;0
Fam_MM;Mcage10e-Mcage10f;trill;0
Fam_MM;Mcage10e-Mcage10f;up;140
Unfam_MF;Mcage15-F16bleu;complex;921
Unfam_MF;Mcage15-F16bleu;Down;303
Unfam_MF;Mcage15-F16bleu;flat;1366
Unfam_MF;Mcage15-F16bleu;longdown;67
Unfam_MF;Mcage15-F16bleu;longdown_trill;4
Unfam_MF;Mcage15-F16bleu;trill;58
Unfam_MF;Mcage15-F16bleu;up;232
Fam_MF;Mcage2-Fcage2;complex;772
Fam_MF;Mcage2-Fcage2;Down;410
Fam_MF;Mcage2-Fcage2;flat;855
Fam_MF;Mcage2-Fcage2;longdown;233
Fam_MF;Mcage2-Fcage2;longdown_trill;2
Fam_MF;Mcage2-Fcage2;trill;5
Fam_MF;Mcage2-Fcage2;up;528
Fam_MM;Mcage3a-Mcage3b;complex;7
Fam_MM;Mcage3a-Mcage3b;Down;0
Fam_MM;Mcage3a-Mcage3b;flat;2082
Fam_MM;Mcage3a-Mcage3b;longdown;0
Fam_MM;Mcage3a-Mcage3b;longdown_trill;0
Fam_MM;Mcage3a-Mcage3b;trill;0
Fam_MM;Mcage3a-Mcage3b;up;85
Fam_MM;Mcage3c-Mcage3d;complex;513
Fam_MM;Mcage3c-Mcage3d;Down;98
Fam_MM;Mcage3c-Mcage3d;flat;1840
Fam_MM;Mcage3c-Mcage3d;longdown;6
Fam_MM;Mcage3c-Mcage3d;longdown_trill;0
Fam_MM;Mcage3c-Mcage3d;trill;0
Fam_MM;Mcage3c-Mcage3d;up;712
Fam_MM;Mcage4a-Mcage4b;complex;170
Fam_MM;Mcage4a-Mcage4b;Down;26
Fam_MM;Mcage4a-Mcage4b;flat;1438
Fam_MM;Mcage4a-Mcage4b;longdown;1
Fam_MM;Mcage4a-Mcage4b;longdown_trill;1
Fam_MM;Mcage4a-Mcage4b;trill;0
Fam_MM;Mcage4a-Mcage4b;up;118
Unfam_MM;Mcage4-M9bleu;complex;2
Unfam_MM;Mcage4-M9bleu;Down;1
Unfam_MM;Mcage4-M9bleu;flat;556
Unfam_MM;Mcage4-M9bleu;longdown;0
Unfam_MM;Mcage4-M9bleu;longdown_trill;0
Unfam_MM;Mcage4-M9bleu;trill;0
Unfam_MM;Mcage4-M9bleu;up;94
Unfam_MM;Mcage7-Mcage15;complex;0
Unfam_MM;Mcage7-Mcage15;Down;0
Unfam_MM;Mcage7-Mcage15;flat;361
Unfam_MM;Mcage7-Mcage15;longdown;0
Unfam_MM;Mcage7-Mcage15;longdown_trill;0
Unfam_MM;Mcage7-Mcage15;trill;0
Unfam_MM;Mcage7-Mcage15;up;7
